Guid,Name,ProductCode,Description,IsActive,Family,ExternalId,DisplayUrl,QuantityUnitOfMeasure,StockKeepingUnit,SBQQ__AssetAmendmentBehavior__c,SBQQ__AssetConversion__c,SBQQ__BatchQuantity__c,SBQQ__BillingFrequency__c,SBQQ__BillingType__c,SBQQ__BlockPricingField__c,SBQQ__ChargeType__c,SBQQ__Component__c,SBQQ__CompoundDiscountRate__c,SBQQ__ConfigurationEvent__c,SBQQ__ConfigurationFieldSet__c,SBQQ__ConfigurationFields__c,SBQQ__ConfigurationFormTitle__c,SBQQ__ConfigurationType__c,SBQQ__ConfigurationValidator__c,SBQQ__ConfiguredCodePattern__c,SBQQ__ConfiguredDescriptionPattern__c,SBQQ__CostEditable__c,SBQQ__CustomConfigurationPage__c,SBQQ__CustomConfigurationRequired__c,SBQQ__CustomerCommunityAvailability__c,SBQQ__DefaultPricingTable__c,SBQQ__DefaultQuantity__c,SBQQ__DescriptionLocked__c,SBQQ__DiscountCategory__c,SBQQ__DiscountSchedule__c,SBQQ__DynamicPricingConstraint__c,SBQQ__EnableLargeConfiguration__c,SBQQ__ExcludeFromMaintenance__c,SBQQ__ExcludeFromOpportunity__c,SBQQ__ExternallyConfigurable__c,SBQQ__GenerateContractedPrice__c,SBQQ__HasConfigurationAttributes__c,SBQQ__HasConsumptionSchedule__c,SBQQ__Hidden__c,SBQQ__HidePriceInSearchResults__c,SBQQ__IncludeInMaintenance__c,SBQQ__NewQuoteGroup__c,SBQQ__NonDiscountable__c,SBQQ__NonPartnerDiscountable__c,SBQQ__OptionLayout__c,SBQQ__OptionSelectionMethod__c,SBQQ__Optional__c,SBQQ__PriceEditable__c,SBQQ__PricingMethodEditable__c,SBQQ__PricingMethod__c,SBQQ__ProductPictureID__c,SBQQ__QuantityEditable__c,SBQQ__QuantityScale__c,SBQQ__ReconfigurationDisabled__c,SBQQ__RenewalProduct__c,SBQQ__SortOrder__c,SBQQ__Specifications__c,SBQQ__SubscriptionBase__c,SBQQ__SubscriptionCategory__c,SBQQ__SubscriptionPercent__c,SBQQ__SubscriptionPricing__c,SBQQ__SubscriptionTarget__c,SBQQ__SubscriptionTerm__c,SBQQ__SubscriptionType__c,SBQQ__TaxCode__c,SBQQ__Taxable__c,SBQQ__TermDiscountLevel__c,SBQQ__TermDiscountSchedule__c,SBQQ__UpgradeCredit__c,SBQQ__UpgradeRatio__c,SBQQ__UpgradeSource__c,SBQQ__UpgradeTarget__c
205797d4-f8b3-4d90-b664-598878f25d5c,Car 1,123qwe,#N/A,true,#N/A,#N/A,#N/A,#N/A,#N/A,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a99eb01a-f6ad-4c41-b54e-3e3e7586d032,"16GB RDIMM, 2133MT/s",MEM 16GB,"16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width",true,Hardware,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,#N/A,false,false,false,#N/A,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8ee9be89-fc95-4c97-8205-7caa56e11217,test-01,Test-001,This a Testing Product,true,None,#N/A,#N/A,#N/A,#N/A,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
c8762ef0-4fbc-4e96-a404-527d371d5491,"16GB RDIMM, 2133MT/s",MEM 16GB,"16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width",true,Hardware,#N/A,#N/A,#N/A,SKU123,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
520e9ae9-9ba9-45c4-ab65-95d9991b5147,Application Protection Block,S-SSO-APB,Module providing Application Protection for tech stack. Blocks of 5 applications.,true,Software,#N/A,#N/A,#N/A,#N/A,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12ab6722-556b-4864-ad17-925416652611,Test Product,#N/A,#N/A,true,#N/A,#N/A,#N/A,#N/A,#N/A,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
76c18ed5-3b24-4c93-a11c-1386323da55e,Widget For Plane,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,#N/A,false,false,false,#N/A,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
f645f8d6-c6cc-4388-ba8a-ced82eaf255b,LUDA TEST,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
78f20df1-a657-494a-902b-f2e9f7b33d5e,Quality Assurance Engineer,SV-QAE,Quality Assurance Engineers test and support the activities prior to a successful Go-Live launch.,true,Services,#N/A,#N/A,#N/A,#N/A,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
d19e3203-89f5-4d43-b4da-ab8b61e06bb8,Milestone Deliverable,SRV-MST,Quick Deploy is a flat fee basic installation package that allows hands-on organizations get a foundational deployment off the ground.,true,Services,#N/A,#N/A,#N/A,#N/A,Default,One per quote line,#N/A,#N/A,#N/A,Quantity,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,1.0,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,false,false,false,false,false,false,false,false,#N/A,Click,false,false,false,List,#N/A,true,#N/A,false,#N/A,#N/A,#N/A,List,#N/A,#N/A,#N/A,#N/A,#N/A,Renewable,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
