Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
d8bb92e5-1efe-44bf-938c-d182a502275f,Separator,#N/A,true,false,#N/A,All,false,#N/A,904.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
260dc091-2c2a-48b5-bbda-8063378e0641,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,#N/A,903.0,onRenewSubscriptions,#N/A,#N/A,Renew Subscriptions,Quote/Group,#N/A,Quote Line Editor,e6dceac7-6719-446e-9bab-0df9866160c1,#N/A,#N/A,Button,#N/A,#N/A
42ff2442-3752-4064-ac37-4ac43e4f5c6e,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,#N/A,998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
676dad5d-46ca-48da-a070-675f9494a0a9,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,#N/A,991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
a6b7cbbf-41ac-4d9f-bb08-3fb04e94ee31,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,#N/A,909.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
eebfbf2b-06f3-47ca-94b5-3823bee164d3,Add Group,Add Group,true,false,addGroupBtn,All,false,#N/A,905.0,onAddGroup,#N/A,#N/A,Add Group,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
33987047-86c6-4e24-9623-ba01f9ae9d7c,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,#N/A,912.0,onQuickSave,#N/A,#N/A,Quick Save,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
57879c18-f5c8-4e31-a12c-78ee4fdc4a6b,Launch External,#N/A,true,false,#N/A,All,false,#N/A,900.0,#N/A,#N/A,#N/A,Launch External,Configurator,#N/A,Product Configurator,#N/A,#N/A,#N/A,Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
297509f2-3e9e-4025-88d0-a1b7685a97d5,Add Recommendations,Add Recommendations,false,false,addRecommendedProductsBtn,All,false,#N/A,920.0,onAddRecommendedProducts,#N/A,#N/A,Add Recommendations,Quote/Group,#N/A,Quote Line Editor,e6dceac7-6719-446e-9bab-0df9866160c1,#N/A,#N/A,Button,#N/A,#N/A
52b6eb2a-8503-41e5-86d5-426b434b72d9,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,#N/A,950.0,onCloneGroup,#N/A,#N/A,Clone Group,Group,#N/A,Quote Line Editor,e6dceac7-6719-446e-9bab-0df9866160c1,#N/A,#N/A,Button,#N/A,#N/A
442c5539-5e5e-4d59-b127-e26cfae1621d,Ungroup,Ungroup,true,false,ungroupBtn,All,false,#N/A,906.0,onUngroup,#N/A,#N/A,Ungroup,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
c3ddaa01-7a3d-4620-a24f-1ab7fb62fb71,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,#N/A,901.0,onAddFavorites,#N/A,#N/A,Add Favorites,Quote/Group,#N/A,Quote Line Editor,e6dceac7-6719-446e-9bab-0df9866160c1,#N/A,#N/A,Button,#N/A,#N/A
